,Open,High,Close
237,723.289978,729.26001,705.059998
238,725.320007,727.150024,721.460022
239,744.419983,745.590027,725.369995
240,735.349976,744.880005,742.210022
241,743.909973,753.919983,737.77002
242,777.309998,781.679993,780.0
243,779.159973,779.659973,774.919983
244,790.5,790.950012,776.25
245,780.190002,788.549988,787.679993
246,775.5,780.929993,780.0
247,775.359985,779.609985,775.390015
248,770.309998,775.75,771.909973
249,758.429993,764.919983,764.320007
250,765.450012,767.219971,757.539978
251,765.869995,767.130005,759.469971
252,765.320007,769.359985,760.119995
253,757.840027,768.419983,768.070007
254,758.130005,762.869995,758.570007
255,769.51001,772.440002,765.119995
256,757.159973,770.039978,769.669983
257,768.340027,769.080017,762.900024
258,768.210022,777.309998,768.340027
259,753.679993,767.179993,765.890015
260,756.169983,758.299988,753.280029
261,751.200012,757.559998,754.840027
262,763.349976,765.390015,757.559998
263,758.440002,765.0,760.049988
264,753.909973,763.340027,762.159973
265,761.630005,762.140015,755.409973
266,757.650024,765.340027,758.47998
267,749.049988,759.0,757.359985
268,746.02002,753.01001,750.570007
269,744.969971,754.26001,750.23999
270,739.950012,744.900024,744.869995
271,727.789978,736.539978,732.169983
272,715.169983,726.23999,725.409973
273,708.390015,722.25,713.530029
274,725.150024,727.210022,712.799988
275,734.799988,735.0,730.219971
276,739.47998,741.0,731.590027
277,742.869995,743.119995,739.47998
278,721.299988,742.330017,742.169983
279,721.0,730.599976,717.219971
280,733.599976,736.159973,724.859985
281,722.929993,729.51001,729.119995
282,710.609985,721.219971,720.900024
283,726.099976,730.900024,717.289978
284,729.51001,734.849976,729.049988
285,715.900024,724.030029,722.109985
286,733.960022,736.0,717.51001
287,727.0,733.76001,731.969971
288,718.650024,722.880005,717.640015
289,712.210022,716.0,706.890015
290,696.340027,712.320007,706.359985
291,711.789978,723.219971,706.849976
292,692.950012,720.960022,701.02002
293,687.679993,704.52002,704.159973
294,725.5,726.719971,703.76001
295,744.590027,745.23999,730.030029
296,786.280029,791.429993,749.380005
297,800.5,810.349976,780.909973
298,771.26001,777.590027,770.77002
299,748.960022,765.109985,761.349976
300,738.190002,751.159973,748.299988
301,735.890015,735.890015,717.580017
302,735.210022,739.460022,733.789978
303,743.840027,752.460022,733.619995
304,742.0,748.559998,745.460022
305,720.169983,737.669983,726.669983
306,705.900024,726.950012,718.559998
307,720.150024,725.349976,719.080017
308,709.98999,724.159973,710.48999
309,724.440002,739.890015,731.390015
310,749.340027,753.0,719.570007
311,740.75,748.340027,745.340027
312,731.950012,735.080017,733.070007
313,747.799988,750.119995,730.909973
314,746.48999,755.309998,741.0
315,750.369995,765.72998,759.330017
316,764.099976,769.200012,761.530029
317,762.200012,762.200012,759.440002
318,787.820007,788.330017,778.01001
319,793.960022,796.460022,790.299988
320,786.98999,798.690002,793.960022
321,770.0,782.820007,782.23999
322,768.52002,769.200012,765.840027
323,770.690002,771.900024,768.51001
324,764.27002,770.340027,767.130005
325,763.049988,766.349976,760.799988
326,767.22998,774.140015,756.849976
327,781.159973,781.590027,769.830017
328,766.570007,781.5,776.590027
329,767.789978,774.75,760.090027
330,751.26001,764.150024,762.539978
331,749.0,757.440002,750.419983
332,763.590027,766.070007,760.039978
333,771.099976,776.090027,762.549988
334,764.5,778.650024,775.140015
335,780.059998,781.0,772.98999
336,769.710022,782.419983,779.210022
337,780.559998,784.47998,768.200012
338,785.25,793.049988,777.849976
339,766.940002,785.0,783.789978
340,771.869995,775.030029,762.849976
341,769.159973,774.0,771.969971
342,771.690002,773.0,769.26001
343,772.960022,775.98999,769.630005
344,777.469971,782.900024,776.700012
345,769.299988,779.320007,777.0
346,759.780029,763.22998,759.940002
347,749.570007,761.099976,760.01001
348,752.469971,754.950012,745.97998
349,740.210022,751.710022,750.419983
350,754.039978,755.330017,740.070007
351,760.179993,765.799988,756.530029
352,762.380005,769.080017,765.25
353,753.47998,760.599976,758.26001
354,758.52002,763.299988,754.77002
355,759.390015,763.02002,761.599976
356,758.809998,766.349976,760.669983
357,749.900024,759.900024,755.309998
358,745.429993,751.700012,748.820007
359,734.530029,748.179993,747.73999
360,745.559998,746.309998,737.390015
361,736.630005,746.789978,744.849976
362,733.0,737.369995,736.919983
363,726.570007,735.960022,732.820007
364,720.02002,734.950012,731.119995
365,750.059998,752.5,719.330017
366,675.440002,688.049988,681.140015
367,683.210022,684.900024,671.799988
368,697.890015,698.0,680.0
369,694.0,700.23999,699.950012
370,695.400024,696.219971,695.320007
371,685.25,694.159973,693.02002
372,683.72998,690.039978,680.409973
373,674.26001,688.460022,683.169983
374,669.190002,677.97998,676.429993
375,667.48999,674.090027,671.23999
376,669.450012,671.890015,667.0
377,677.400024,678.73999,670.0
378,669.349976,678.799988,671.640015
379,661.599976,673.030029,671.679993
380,638.01001,657.0,656.98999
381,637.940002,643.840027,642.0
382,631.830017,639.309998,638.369995
383,625.5,634.679993,622.609985
384,639.049988,642.849976,624.25
385,658.580017,658.580017,640.150024
386,648.969971,656.77002,654.909973
387,652.900024,660.280029,653.289978
388,657.469971,658.820007,653.200012
389,665.51001,669.0,666.97998
390,665.059998,669.840027,660.919983
391,667.48999,681.98999,671.669983
392,665.549988,668.070007,665.52002
393,656.710022,668.849976,665.070007
394,655.630005,655.919983,652.469971
395,650.210022,655.309998,655.299988
396,643.900024,654.900024,651.080017
397,651.880005,657.359985,643.409973
398,641.0,645.039978,643.880005
399,629.700012,634.5,628.960022
400,647.929993,651.25,637.049988
401,638.0,645.059998,644.909973
402,633.809998,644.440002,629.559998
403,654.340027,664.409973,647.820007
404,665.76001,667.0,659.690002
405,671.98999,673.97998,667.960022
406,643.099976,662.47998,659.73999
407,646.469971,647.0,612.469971
408,600.599976,627.679993,618.109985
409,671.039978,672.890015,644.030029
410,689.099976,696.159973,679.47998
411,690.109985,700.200012,694.039978
412,691.070007,695.76001,688.72998
413,688.039978,694.73999,694.109985
414,684.039978,692.26001,689.369995
415,689.200012,694.030029,686.51001
416,694.48999,696.0,691.469971
417,699.580017,704.0,690.299988
418,667.090027,671.619995,663.140015
419,667.780029,668.799988,664.390015
420,673.98999,674.75,670.150024
421,665.75,679.909973,673.289978
422,664.340027,668.0,661.280029
423,657.659973,666.669983,664.719971
424,664.700012,665.0,657.5
425,657.440002,668.049988,664.559998
426,662.26001,663.330017,661.429993
427,661.76001,664.099976,659.659973
428,651.570007,667.070007,658.27002
429,676.77002,677.789978,654.77002
430,691.849976,696.070007,674.72998
431,694.02002,713.330017,695.099976
432,684.880005,705.599976,695.349976
433,688.97998,697.799988,692.840027
434,680.0,703.0,699.619995
435,589.5,604.5,601.780029
436,583.73999,588.690002,583.960022
437,574.5,589.710022,584.179993
438,559.51001,572.849976,571.72998
439,553.710022,559.289978,556.109985
440,548.650024,548.880005,544.650024
441,545.599976,548.280029,541.700012
442,547.429993,551.0,550.030029
443,542.25,548.580017,545.619995
444,544.73999,548.0,547.340027
445,543.659973,545.809998,543.299988
446,545.090027,545.900024,540.039978
447,546.75,550.900024,541.25
448,559.710022,560.0,553.059998
449,560.299988,563.140015,557.950012
450,562.47998,562.640015,558.570007
451,559.789978,564.900024,563.390015
452,559.409973,565.609985,559.679993
453,556.52002,557.909973,557.52002
454,548.0,557.25,556.179993
455,545.419983,548.359985,546.599976
456,544.47998,546.690002,544.869995
457,542.72998,544.049988,543.0
458,547.150024,548.849976,547.469971
459,554.48999,554.830017,550.039978
460,545.700012,554.780029,552.599976
461,543.419983,544.840027,542.159973
462,549.609985,549.869995,543.47998
463,552.0,553.330017,549.530029
464,552.179993,555.960022,551.690002
465,555.099976,557.98999,555.289978
466,547.429993,558.789978,553.950012
467,548.72998,550.570007,549.210022
468,553.200012,553.940002,545.320007
469,553.789978,555.76001,554.179993
470,548.679993,555.289978,554.25
471,552.580017,553.330017,547.190002
472,554.460022,558.23999,554.52002
473,550.200012,557.609985,556.809998
474,550.919983,556.070007,552.51001
475,548.0,553.400024,549.280029
476,543.820007,548.340027,546.669983
477,550.390015,550.599976,546.48999
478,543.969971,549.690002,549.200012
479,540.469971,543.840027,539.48999
480,542.809998,542.960022,538.72998
481,548.48999,553.369995,545.780029
482,548.869995,552.799988,548.950012
483,535.900024,545.200012,542.039978
484,542.640015,543.929993,535.080017
485,550.159973,552.609985,543.039978
486,550.98999,556.690002,552.840027
487,550.51001,551.219971,551.159973
488,558.559998,561.109985,548.77002
489,560.51001,565.840027,561.390015
490,564.320007,567.830017,564.369995
491,572.77002,575.52002,566.119995
492,580.049988,584.700012,573.659973
493,550.409973,561.169983,557.460022
494,543.059998,551.0,549.179993
495,546.309998,547.77002,542.919983
496,533.75,545.799988,544.530029
497,537.309998,539.799988,532.73999
498,538.349976,545.22998,543.52002
499,537.960022,543.190002,541.039978
500,546.570007,546.570007,539.780029
501,547.049988,553.27002,548.640015
502,549.570007,549.849976,548.539978
503,549.210022,549.369995,548.02002
504,546.0,551.5,548.840027
505,544.98999,550.159973,544.859985
506,538.840027,545.539978,543.950012
507,547.409973,548.0,541.309998
508,554.830017,558.5,549.48999
509,557.940002,562.450012,554.700012
510,560.25,562.159973,561.140015
511,561.830017,564.070007,557.549988
512,564.650024,567.190002,563.640015
513,577.570007,580.070007,567.0
514,568.539978,581.880005,577.539978
515,566.0,569.640015,565.369995
516,566.710022,567.099976,564.950012
517,564.52002,566.960022,563.669983
518,557.72998,566.51001,566.159973
519,558.289978,560.640015,557.609985
520,556.929993,563.75,561.640015
521,559.22998,564.359985,553.0
522,558.47998,561.840027,561.169983
523,559.799988,564.179993,555.690002
524,568.47998,569.76001,559.849976
525,570.919983,575.450012,574.099976
526,582.0,582.780029,572.900024
527,579.619995,583.200012,581.429993
528,576.969971,581.630005,578.330017
529,576.349976,580.849976,578.789978
530,567.0,575.98999,575.02002
531,558.150024,569.419983,562.630005
532,545.73999,560.130005,559.289978
533,538.440002,549.570007,547.330017
534,531.549988,539.400024,538.650024
535,539.0,539.299988,535.0
536,547.580017,547.580017,541.799988
537,542.469971,546.859985,546.450012
538,543.820007,547.549988,542.650024
539,551.159973,553.0,545.01001
540,547.51001,552.539978,551.159973
541,539.659973,548.340027,546.01001
542,539.72998,541.950012,538.0
543,532.150024,541.0,540.159973
544,531.059998,533.880005,529.280029
545,531.01001,540.219971,533.880005
546,527.929993,530.690002,529.830017
547,533.140015,536.75,526.099976
548,529.940002,537.450012,533.299988
549,534.320007,536.5,532.200012
550,519.0,543.099976,537.549988
551,512.900024,515.190002,513.22998
552,525.0,525.690002,512.429993
553,531.400024,532.780029,521.190002
554,541.5,541.5,536.719971
555,538.030029,545.409973,541.950012
556,523.0,538.840027,537.299988
557,510.839996,521.849976,520.390015
558,512.77002,515.609985,509.940002
559,503.149994,510.850006,510.459991
560,508.890015,509.75,504.01001
561,500.420013,508.26001,505.929993
562,502.570007,508.600006,501.799988
563,499.23999,500.279999,497.059998
564,508.179993,508.600006,500.720001
565,501.51001,507.5,506.910004
566,510.950012,511.48999,505.149994
567,520.5,521.210022,506.640015
568,527.150024,527.98999,519.460022
569,532.599976,535.799988,529.549988
570,537.73999,538.400024,530.659973
571,534.960022,537.840027,535.280029
572,540.5,543.929993,537.309998
573,536.929993,543.25,541.52002
574,538.820007,540.289978,536.929993
575,534.51001,542.299988,538.77002
576,520.609985,532.969971,532.299988
577,516.98999,520.809998,520.039978
578,515.98999,516.25,514.619995
579,499.859985,509.070007,506.450012
580,513.599976,515.580017,498.160004
581,523.76001,525.369995,515.840027
582,527.440002,532.23999,521.51001
583,530.01001,537.039978,532.109985
584,535.900024,539.359985,528.039978
585,525.880005,536.650024,536.109985
586,529.219971,533.820007,530.72998
587,536.700012,538.200012,528.080017
588,537.640015,542.690002,542.580017
